"SUBJECTS","Activity","mean(tBodyAccX)"
"1",1,"LAYING",0.255461689622641
"2",1,"SITTING",0.277330758736842
"3",1,"STANDING",0.289188320408163
"4",1,"WALKING",0.22159824394
"5",1,"WALKING_DOWNSTAIRS",0.278917629056604
"6",1,"WALKING_UPSTAIRS",0.261237565425532
"7",2,"LAYING",0.247164790395833
"8",2,"SITTING",0.276426586440678
"9",2,"STANDING",0.27761534806383
"10",2,"WALKING",0.281373403958333
"11",2,"WALKING_DOWNSTAIRS",0.277911472222222
"12",2,"WALKING_UPSTAIRS",0.27708735173913
"13",3,"LAYING",0.260819873067797
"14",3,"SITTING",0.275567462068966
"15",3,"STANDING",0.292423484693878
"16",3,"WALKING",0.275516852741935
"17",3,"WALKING_DOWNSTAIRS",0.280046513278689
"18",3,"WALKING_UPSTAIRS",0.257197599134615
"19",4,"LAYING",0.270876696730769
"20",4,"SITTING",0.278582015166667
"21",4,"STANDING",0.279965329555556
"22",4,"WALKING",0.263559214981481
"23",4,"WALKING_DOWNSTAIRS",0.280499745892857
"24",4,"WALKING_UPSTAIRS",0.27153827992
"25",5,"LAYING",0.268459469914894
"26",5,"SITTING",0.27784234625
"27",5,"STANDING",0.29354392712766
"28",5,"WALKING",0.278334325576923
"29",5,"WALKING_DOWNSTAIRS",0.282544390892857
"30",5,"WALKING_UPSTAIRS",0.273694139545455
"31",6,"LAYING",0.268229355098039
"32",6,"SITTING",0.283658868070175
"33",6,"STANDING",0.277045258145833
"34",6,"WALKING",0.248656520140351
"35",6,"WALKING_DOWNSTAIRS",0.280346248596491
"36",6,"WALKING_UPSTAIRS",0.276778487454545
"37",7,"LAYING",0.248706923078431
"38",7,"SITTING",0.275592961754386
"39",7,"STANDING",0.28030708
"40",7,"WALKING",0.250176694038462
"41",7,"WALKING_DOWNSTAIRS",0.282723539433962
"42",7,"WALKING_UPSTAIRS",0.284674637291667
"43",8,"LAYING",0.258880152048781
"44",8,"SITTING",0.27468631
"45",8,"STANDING",0.283484089210526
"46",8,"WALKING",0.261254282907407
"47",8,"WALKING_DOWNSTAIRS",0.279620986111111
"48",8,"WALKING_UPSTAIRS",0.267491472934783
"49",9,"LAYING",0.262436475714286
"50",9,"SITTING",0.278502842115385
"51",9,"STANDING",0.295923445
"52",9,"WALKING",0.2591955368
"53",9,"WALKING_DOWNSTAIRS",0.282310057333333
"54",9,"WALKING_UPSTAIRS",0.24832674354
"55",10,"LAYING",0.267121853404255
"56",10,"SITTING",0.278574076603774
"57",10,"STANDING",0.290401594315789
"58",10,"WALKING",0.280230574137931
"59",10,"WALKING_DOWNSTAIRS",0.276650300681818
"60",10,"WALKING_UPSTAIRS",0.270612056481481
"61",11,"LAYING",0.263775859277778
"62",11,"SITTING",0.271821892881356
"63",11,"STANDING",0.291605631956522
"64",11,"WALKING",0.280592970877193
"65",11,"WALKING_DOWNSTAIRS",0.277715562765957
"66",11,"WALKING_UPSTAIRS",0.276590197358491
"67",12,"LAYING",0.272970338653846
"68",12,"SITTING",0.2771286656
"69",12,"STANDING",0.281521097391304
"70",12,"WALKING",0.260113433
"71",12,"WALKING_DOWNSTAIRS",0.277405834918033
"72",12,"WALKING_UPSTAIRS",0.275007224901961
"73",13,"LAYING",0.258203939581818
"74",13,"SITTING",0.275883130350877
"75",13,"STANDING",0.294907553404255
"76",13,"WALKING",0.276716360483871
"77",13,"WALKING_DOWNSTAIRS",0.277758431052632
"78",13,"WALKING_UPSTAIRS",0.274328499591837
"79",14,"LAYING",0.26242106612963
"80",14,"SITTING",0.271959598644068
"81",14,"STANDING",0.293422115555556
"82",14,"WALKING",0.233275439803922
"83",14,"WALKING_DOWNSTAIRS",0.280545613833333
"84",14,"WALKING_UPSTAIRS",0.279990577037037
"85",15,"LAYING",0.270187595833333
"86",15,"SITTING",0.273899207962963
"87",15,"STANDING",0.280198851190476
"88",15,"WALKING",0.2894756525
"89",15,"WALKING_DOWNSTAIRS",0.278915803962264
"90",15,"WALKING_UPSTAIRS",0.27290337979661
"91",16,"LAYING",0.255986102627451
"92",16,"SITTING",0.276023564509804
"93",16,"STANDING",0.295586802191489
"94",16,"WALKING",0.274227162571429
"95",16,"WALKING_DOWNSTAIRS",0.283497402948718
"96",16,"WALKING_UPSTAIRS",0.280768574492754
"97",17,"LAYING",0.252604768583333
"98",17,"SITTING",0.272341855245902
"99",17,"STANDING",0.29391828326087
"100",17,"WALKING",0.269780085577465
"101",17,"WALKING_DOWNSTAIRS",0.277942503333333
"102",17,"WALKING_UPSTAIRS",0.2773570196875
"103",18,"LAYING",0.265401201896552
"104",18,"SITTING",0.273887758571429
"105",18,"STANDING",0.288439468909091
"106",18,"WALKING",0.274691576923077
"107",18,"WALKING_DOWNSTAIRS",0.278458805890411
"108",18,"WALKING_UPSTAIRS",0.27727001877193
"109",19,"LAYING",0.242118808925
"110",19,"SITTING",0.273931172307692
"111",19,"STANDING",0.262688053871795
"112",19,"WALKING",0.272653733493976
"113",19,"WALKING_DOWNSTAIRS",0.27817226
"114",19,"WALKING_UPSTAIRS",0.273830316164384
"115",20,"LAYING",0.252098317156863
"116",20,"SITTING",0.272589336470588
"117",20,"STANDING",0.296144421355556
"118",20,"WALKING",0.239507882205882
"119",20,"WALKING_DOWNSTAIRS",0.278076904657534
"120",20,"WALKING_UPSTAIRS",0.278045439090909
"121",21,"LAYING",0.265194544680851
"122",21,"SITTING",0.279183526730769
"123",21,"STANDING",0.3014610196
"124",21,"WALKING",0.271325472455556
"125",21,"WALKING_DOWNSTAIRS",0.27695224258427
"126",21,"WALKING_UPSTAIRS",0.277539616823529
"127",22,"LAYING",0.248391534566667
"128",22,"SITTING",0.27886459
"129",22,"STANDING",0.284458963861111
"130",22,"WALKING",0.279959721194444
"131",22,"WALKING_DOWNSTAIRS",0.279053861587302
"132",22,"WALKING_UPSTAIRS",0.273583822709677
"133",23,"LAYING",0.249995171031373
"134",23,"SITTING",0.273211884237288
"135",23,"STANDING",0.289897411148148
"136",23,"WALKING",0.274038007986111
"137",23,"WALKING_DOWNSTAIRS",0.277899323235294
"138",23,"WALKING_UPSTAIRS",0.273351251617647
"139",24,"LAYING",0.269881106779661
"140",24,"SITTING",0.276980816034483
"141",24,"STANDING",0.288631208909091
"142",24,"WALKING",0.272850494930556
"143",24,"WALKING_DOWNSTAIRS",0.280348883913043
"144",24,"WALKING_UPSTAIRS",0.273475690147059
"145",25,"LAYING",0.277995411384615
"146",25,"SITTING",0.278992759054054
"147",25,"STANDING",0.291329666206897
"148",25,"WALKING",0.250791828613699
"149",25,"WALKING_DOWNSTAIRS",0.278013701621622
"150",25,"WALKING_UPSTAIRS",0.278541482461538
"151",26,"LAYING",0.272691394545455
"152",26,"SITTING",0.279264443728814
"153",26,"STANDING",0.2792845828
"154",26,"WALKING",0.271645864540789
"155",26,"WALKING_DOWNSTAIRS",0.281127035405405
"156",26,"WALKING_UPSTAIRS",0.258243530166667
"157",27,"LAYING",0.265770253921569
"158",27,"SITTING",0.276849485438596
"159",27,"STANDING",0.2975441875
"160",27,"WALKING",0.274102492432432
"161",27,"WALKING_DOWNSTAIRS",0.279566921625
"162",27,"WALKING_UPSTAIRS",0.273941302571429
"163",28,"LAYING",0.262005841764706
"164",28,"SITTING",0.281228223888889
"165",28,"STANDING",0.293642076521739
"166",28,"WALKING",0.2759134825
"167",28,"WALKING_DOWNSTAIRS",0.277795069113924
"168",28,"WALKING_UPSTAIRS",0.276977629444444
"169",29,"LAYING",0.265423066877551
"170",29,"SITTING",0.271999916792453
"171",29,"STANDING",0.293140441083333
"172",29,"WALKING",0.287295196811594
"173",29,"WALKING_DOWNSTAIRS",0.277965065846154
"174",29,"WALKING_UPSTAIRS",0.2771799775
"175",30,"LAYING",0.271415642261538
"176",30,"SITTING",0.276406758
"177",30,"STANDING",0.283190646967742
"178",30,"WALKING",0.281033900571429
"179",30,"WALKING_DOWNSTAIRS",0.277112699152542
"180",30,"WALKING_UPSTAIRS",0.268336081379032
